incorrectWord,correctWord,freq,candidateCount,incorrectLength,correctLength,norvigGuess,norvigSuccess,chiSquareGuess,chiSquareSuccess,gtestGuess,gtestSuccess,multinomialGuess,multinomialSuccess
contenpted,contented,1.1653078877898144e-05,1,10,9,contented,1,contented,1,contented,1,contented,1
contende,contented,1.1653078877898144e-05,3,8,9,contended,0,contente,0,contend,0,contended,0
contended,contented,1.1653078877898144e-05,1,9,9,contended,0,contended,0,contended,0,contended,0
contentid,contented,1.1653078877898144e-05,1,9,9,contented,1,contented,1,contented,1,contented,1
begining,beginning,0.0001281838676568796,1,8,9,beginning,1,beginning,1,beginning,1,beginning,1
problam,problem,6.364373848698216e-05,1,7,7,problem,1,problem,1,problem,1,problem,1
proble,problem,6.364373848698216e-05,3,6,7,problem,1,preble,0,probe,0,problem,1
promblem,problem,6.364373848698216e-05,1,8,7,problem,1,problem,1,problem,1,problem,1
proplen,problem,6.364373848698216e-05,8,7,7,people,0,prophet,0,proper,0,proper,0
dirven,driven,5.9161785072405954e-05,1,6,6,driven,1,driven,1,driven,1,driven,1
exstacy,ecstasy,7.171125463321934e-06,2,7,7,ecstasy,1,eustace,0,eustace,0,eustace,0
ecstacy,ecstasy,7.171125463321934e-06,1,7,7,ecstasy,1,ecstasy,1,ecstasy,1,ecstasy,1
guic,juice,4.481953414576209e-06,50,4,5,guns,0,suis,0,duc,0,guide,0
juce,juice,4.481953414576209e-06,2,4,5,june,0,june,0,june,0,juice,1
jucie,juice,4.481953414576209e-06,2,5,5,julie,0,julie,0,julie,0,juice,1
juise,juice,4.481953414576209e-06,2,5,5,guise,0,juice,1,juice,1,juice,1
juse,juice,4.481953414576209e-06,7,4,5,just,0,ruse,0,use,0,use,0
localy,locally,8.963906829152418e-06,2,6,7,local,0,local,0,local,0,locally,1
compair,compare,2.599532980454201e-05,6,7,7,company,0,compass,0,impair,0,impair,0
pronounciation,pronunciation,8.963906829152417e-07,1,14,13,pronunciation,1,pronunciation,1,pronunciation,1,pronunciation,1
transportibility,transportability,0.0,1,16,16,transportibility,0,transportibility,0,transportibility,0,transportibility,0
miniscule,minuscule,0.0,1,9,9,miniscule,0,miniscule,0,miniscule,0,miniscule,0
independant,independent,6.543651985281265e-05,1,11,11,independent,1,independent,1,independent,1,independent,1
aranged,arranged,6.722930121864313e-05,2,7,8,arranged,1,ranged,0,ranged,0,arranged,1
arrainged,arranged,6.722930121864313e-05,2,9,8,arranged,1,arranged,1,arranged,1,arraigned,0
poartry,poetry,8.963906829152418e-06,9,7,6,party,0,poultry,0,parry,0,portray,0
poertry,poetry,8.963906829152418e-06,1,7,6,poetry,1,poetry,1,poetry,1,poetry,1
poetre,poetry,8.963906829152418e-06,1,6,6,poetry,1,poetry,1,poetry,1,poetry,1
poety,poetry,8.963906829152418e-06,4,5,6,poetry,1,poets,0,poet,0,poetry,1
powetry,poetry,8.963906829152418e-06,1,7,6,poetry,1,poetry,1,poetry,1,poetry,1
leval,level,4.750870619450781e-05,2,5,5,level,1,legal,0,legal,0,level,1
basicaly,basically,8.963906829152417e-07,1,8,9,basically,1,basically,1,basically,1,basically,1
triangulaur,triangular,1.7927813658304835e-06,1,11,10,triangular,1,triangular,1,triangular,1,triangular,1
unexpcted,unexpected,4.033758073118588e-05,1,9,10,unexpected,1,unexpected,1,unexpected,1,unexpected,1
unexpeted,unexpected,4.033758073118588e-05,1,9,10,unexpected,1,unexpected,1,unexpected,1,unexpected,1
unexspected,unexpected,4.033758073118588e-05,1,11,10,unexpected,1,unexpected,1,unexpected,1,unexpected,1
stanerdizing,standardizing,0.0,1,12,13,stanerdizing,0,stanerdizing,0,stanerdizing,0,stanerdizing,0
varable,variable,1.4342250926643868e-05,2,7,8,variable,1,arable,0,arable,0,variable,1
futher,further,0.00012370191424230338,3,6,7,father,0,luther,0,luther,0,further,1
monitering,monitoring,8.963906829152417e-07,1,10,10,monitoring,1,monitoring,1,monitoring,1,monitoring,1
biscits,biscuits,7.171125463321934e-06,1,7,8,biscuits,1,biscuits,1,biscuits,1,biscuits,1
biscutes,biscuits,7.171125463321934e-06,2,8,8,disputes,0,disputes,0,disputes,0,biscuits,1
biscuts,biscuits,7.171125463321934e-06,1,7,8,biscuits,1,biscuits,1,biscuits,1,biscuits,1
bisquits,biscuits,7.171125463321934e-06,1,8,8,biscuits,1,biscuits,1,biscuits,1,biscuits,1
buiscits,biscuits,7.171125463321934e-06,1,8,8,biscuits,1,biscuits,1,biscuits,1,biscuits,1
buiscuts,biscuits,7.171125463321934e-06,1,8,8,biscuits,1,biscuits,1,biscuits,1,biscuits,1
avaible,available,3.316645526786394e-05,7,7,9,available,1,audible,0,avail,0,available,1
seperate,separate,6.185095712115169e-05,1,8,8,separate,1,separate,1,separate,1,separate,1
neccesary,necessary,0.00029311975331328404,1,9,9,necessary,1,necessary,1,necessary,1,necessary,1
necesary,necessary,0.00029311975331328404,1,8,9,necessary,1,necessary,1,necessary,1,necessary,1
necassary,necessary,0.00029311975331328404,1,9,9,necessary,1,necessary,1,necessary,1,necessary,1
necassery,necessary,0.00029311975331328404,1,9,9,necessary,1,necessary,1,necessary,1,necessary,1
neccasary,necessary,0.00029311975331328404,1,9,9,necessary,1,necessary,1,necessary,1,necessary,1
defenition,definition,2.061698570705056e-05,1,10,10,definition,1,definition,1,definition,1,definition,1
receit,receipt,1.1653078877898144e-05,3,6,7,recent,0,recent,0,recent,0,receipt,1
receite,receipt,1.1653078877898144e-05,2,7,7,receive,0,receive,0,recite,0,recite,0
reciet,receipt,1.1653078877898144e-05,1,6,7,recite,0,recite,0,recite,0,recite,0
recipt,receipt,1.1653078877898144e-05,2,6,7,receipt,1,recipe,0,recipe,0,receipt,1
remine,remind,8.067516146237176e-06,3,6,6,remind,1,refine,0,refine,0,ermine,0
remined,remind,8.067516146237176e-06,5,7,6,remained,0,refined,0,reined,0,remained,0
inetials,initials,6.2747347804066925e-06,1,8,8,initials,1,initials,1,initials,1,initials,1
inistals,initials,6.2747347804066925e-06,4,8,8,initials,1,install,0,instal,0,instal,0
initails,initials,6.2747347804066925e-06,1,8,8,initials,1,initials,1,initials,1,initials,1
initals,initials,6.2747347804066925e-06,1,7,8,initials,1,initials,1,initials,1,initials,1
intials,initials,6.2747347804066925e-06,1,7,8,initials,1,initials,1,initials,1,initials,1
magnificnet,magnificent,1.0756688194982902e-05,1,11,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
magificent,magnificent,1.0756688194982902e-05,1,10,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
magnifcent,magnificent,1.0756688194982902e-05,1,10,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
